ID	MP Name	Nature of membership	Start of Term	End of Term	Number of terms	Constituency	State	Political party	Gender	Educational qualifications	Educational qualifications - details	Age	Debates	Private Member Bills	Questions	Attendance	Notes	National Debates average	National Private Member Bills average	National Questions average	National Attendance average	State's Debates average	State's Private Member Bills average	State Questions	State's Attendance average		House
985	Giriraj Singh	Elected	Sunday, May 18, 2014	In office	First	Nawada	Bihar	Bharatiya Janata Party	Male	Graduate	Graduate	66	0	0	5	85%	This MP was appointed a minister in Nov 2014. Ministers represent the government, so we do not report their participation. Participation and attendance details for this MP are thus available only till Aug 2014. (Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	5.2	0.1	18	80	7.6	0.3	17	87%		Lok Sabha
986	Godam Nagesh	Elected	Sunday, May 18, 2014	In office	First	Adilabad	Telangana	Telangana Rashtra Samithi	Male	Post Graduate	M.A., M.Ed.(O.U)	54	4	0	12	82%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	39.2	2.4	302	68%		Lok Sabha
987	Godse Hemant Tukaram	Elected	Sunday, May 18, 2014	In office	First	Nashik	Maharashtra	Shiv Sena	Male	Diploma Course	Diploma in Civil Engineering	48	32	0	442	88%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	68.6	4.8	607	78%		Lok Sabha
988	Gokaraju Ganga Raju	Elected	Sunday, May 18, 2014	In office	First	Narsapuram	Andhra Pradesh	Bharatiya Janata Party	Male	Graduate	B.Pharma	74	2	0	228	80%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	39.3	0.6	257	76%		Lok Sabha
989	Gopal Chinayya Shetty	Elected	Sunday, May 18, 2014	In office	First	Mumbai-North	Maharashtra	Bharatiya Janata Party	Male	Under Matric	Non-Matric	65	119	32	465	100%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	68.6	4.8	607	78%		Lok Sabha
990	Gourav Gogoi	Elected	Sunday, May 18, 2014	In office	First	Kaliabor	Assam	Indian National Congress	Male	Post Graduate	Post Graduate	36	83	6	307	77%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	46.6	0.8	164	74%		Lok Sabha
991	Gowdar Mallikarjunappa Siddeswara	Elected	Sunday, May 18, 2014	In office	Third	Davanagere	Karnataka	Bharatiya Janata Party	Male	Matric	Educated at Bheemeshwara Rural Educational Society, Bheemasamudra (Karnataka)	66	4	0	260	65%	This MP was a minister till Jul 2016. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Participation and attendance details (Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	31.7	1.3	156	80	19.4	0.3	178	79%		Lok Sabha
517966	Gurjeet Singh Aujla	Elected	Monday, March 20, 2017	In office	First	Amritsar	Punjab	Indian National Congress	Male	Inter/ Higher Secondary	Educated at P.N.B. Sr. Secondary School, Amritsar, Punjab	46	13	0	35	88%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	20.6	0.9	106	80	15.6	0.6	54	68%		Lok Sabha
517492	Gyan Singh	Elected	Friday, November 25, 2016	In office	First	Shahdol	Madhya Pradesh	Bharatiya Janata Party	Male	Under Matric	7th Pass Government Secondary School in 1966	66	1	0	2	57%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	24.8	1.1	130	80	22.3	0.3	133	82%		Lok Sabha
992	H.D. Devegowda	Elected	Sunday, May 18, 2014	In office	Sixth	Hassan	Karnataka	Janata Dal (Secular)	Male	Diploma Course	D.C.E.; Educated at Government High School, Holenarsipura and Smt.L.V. Polytechnic, Hassan, Karnataka	85	20	0	0	55%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	48.2	0.4	373	79%		Lok Sabha
993	Hansraj Gangaram Ahir	Elected	Sunday, May 18, 2014	In office	Fourth	Chandrapur	Maharashtra	Bharatiya Janata Party	Male	Inter/ Higher Secondary	S.S.C.; Educated at L.T.Y. School, Chandrapur, Maharashtra	64	10	4	115	91%	This MP was appointed a minister in Nov 2014. Ministers represent the government, so we do not report their participation. Participation and attendance details for this MP are thus available only till Aug 2014. (Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	5.2	0.1	18	80	4.6	0.2	38	78%		Lok Sabha
994	Hari Manjhi	Elected	Sunday, May 18, 2014	In office	Second	Gaya	Bihar	Bharatiya Janata Party	Male	Under Matric	Under Matriculate	56	19	0	257	98%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	58.8	3.2	198	87%		Lok Sabha
995	Hari Om Pandey	Elected	Sunday, May 18, 2014	In office	First	Ambedkar Nagar	Uttar Pradesh	Bharatiya Janata Party	Male	Post Graduate	M.A., B.P.Ed. N.I.S.	62	2	0	227	92%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	109.6	1.8	198	86%		Lok Sabha
996	Haribansh Singh	Elected	Sunday, May 18, 2014	In office	First	Pratapgarh	Uttar Pradesh	Apna Dal	Male	Graduate	B.Sc. (AG)	68	34	0	1050	91%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	109.6	1.8	198	86%		Lok Sabha
997	Haribhai Parthibhai Chaudhary	Elected	Sunday, May 18, 2014	In office	Fourth	Banaskantha	Gujarat	Bharatiya Janata Party	Male	Graduate	Educated at Mumbai University, Mumbai (Maharashtra)	64	7	0	12	97%	This MP was appointed a minister in Nov 2014. Ministers represent the government, so we do not report their participation. Participation and attendance details for this MP are thus available only till Aug 2014. (Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	5.2	0.1	18	80	4.1	0.3	18	84%		Lok Sabha
998	Harinarayan Rajbhar	Elected	Sunday, May 18, 2014	In office	First	Ghosi	Uttar Pradesh	Bharatiya Janata Party	Male	Under Matric	Information not available	78	32	1	160	96%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	109.6	1.8	198	86%		Lok Sabha
999	Harinder Singh Khalsa	Elected	Sunday, May 18, 2014	In office	Second	Fatehgarh Sahib	Punjab	Aam Aadmi Party	Male	Post Graduate	M.A. (Eng.)	71	2	0	44	76%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	48.6	1.2	135	68%		Lok Sabha
1000	Hariom Singh Rathore	Elected	Sunday, May 18, 2014	In office	First	Rajsamand	Rajasthan	Bharatiya Janata Party	Male	Graduate	B.Com.	61	61	0	243	82%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	138.2	3.8	390	88%		Lok Sabha
1001	Harish Chandra Alias Harish Dwivedi	Elected	Sunday, May 18, 2014	In office	First	Basti	Uttar Pradesh	Bharatiya Janata Party	Male	Post Graduate	Post Graduate	45	34	0	328	86%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	109.6	1.8	198	86%		Lok Sabha
1002	Harish Chandra Meena	Elected	Sunday, May 18, 2014	Monday, December 24, 2018	First	Dausa	Rajasthan	Bharatiya Janata Party	Male	Graduate	Graduate	64	92	1	304	97%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	64.2	2.1	278	80	135.3	3.7	375	88%		Lok Sabha
1003	Harishchandra Deoram Chavan	Elected	Sunday, May 18, 2014	In office	Third	Dindori	Maharashtra	Bharatiya Janata Party	Male	Graduate	B.A. (With English Special); Educated at K.G. Joshi College, Thane (Maharashtra)	67	38	0	645	86%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	68.6	4.8	607	78%		Lok Sabha
1004	Harsh Vardhan	Elected	Sunday, May 18, 2014	In office	First	Chandni Chowk	Delhi	Bharatiya Janata Party	Male	Professional Graduate	M.B.B.S.	64	N/A	N/A	N/A	N/A	This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	N/A	N/A	N/A		N/A	N/A	N/A	N/A		Lok Sabha
1005	Harsimrat Kaur Badal	Elected	Sunday, May 18, 2014	In office	Second	Bathinda	Punjab	Shiromani Akali Dal	Female	Graduate	Degree in Dress designing	52	N/A	N/A	N/A	N/A	This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	N/A	N/A	N/A		N/A	N/A	N/A	N/A		Lok Sabha
1006	Heena Vaijaykumar Gavit	Elected	Sunday, May 18, 2014	In office	First	Nandurbar	Maharashtra	Bharatiya Janata Party	Female	Professional Post Graduate	M.B.B.S., M.D.	31	59	0	1099	81%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	68.6	4.8	607	78%		Lok Sabha
1007	Hema Malini	Elected	Sunday, May 18, 2014	In office	First	Mathura	Uttar Pradesh	Bharatiya Janata Party	Female	Matric	Matric Educated at Andhra Mahila Sabha, Chennai	70	17	0	210	39%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	109.6	1.8	198	86%		Lok Sabha
1008	Hemendra Chandra Singh	Elected	Sunday, May 18, 2014	Friday, September 5, 2014	First	Kandhamal	Odisha	Biju Janata Dal	Male	Graduate	B.Com.	51	0	0	0	97%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	5.2	0.1	18	80	4.6	0.3	15	82%		Lok Sabha
1009	Hukamdeo Narayan Yadav	Elected	Sunday, May 18, 2014	In office	Fifth	Madhubani	Bihar	Bharatiya Janata Party	Male	Graduate	Graduate, Amanat (Land surveying); Educated at Chandradhari Mithila College, Darbhanga, Bihar	79	38	0	31	97%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	58.8	3.2	198	87%		Lok Sabha
1010	Hukum Singh	Elected	Sunday, May 18, 2014	Saturday, February 3, 2018	First	Kairana	Uttar Pradesh	Bharatiya Janata Party	Male	Professional Graduate	B.A., LL.B.	80	57	0	202	95%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	57.1	1.8	229	80	93.5	1.3	152	86%		Lok Sabha
1011	Idris Ali	Elected	Sunday, May 18, 2014	In office	First	Basirhat	West Bengal	All India Trinamool Congress	Male	Professional Graduate	B.Sc., LLB	68	25	0	17	70%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	34.4	0.3	94	65%		Lok Sabha
1012	Inderjit Singh Rao	Elected	Sunday, May 18, 2014	In office	Fourth	Gurgaon	Haryana	Bharatiya Janata Party	Male	Professional Graduate	B.A. (Hons), LL.B., Educated at University of Delhi, Delhi	69	N/A	N/A	N/A	N/A	This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	N/A	N/A	N/A		N/A	N/A	N/A	N/A		Lok Sabha
1013	Innocent	Elected	Sunday, May 18, 2014	In office	First	Chalakudy	Kerala	Independent	Male	Under Matric	Under Matric	71	42	0	218	69%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	142.5	4.7	424	77%		Lok Sabha
1014	J. Jayavardhan	Elected	Sunday, May 18, 2014	In office	First	Chennai South	Tamil Nadu	All India Anna Dravida Munnetra Kazhagam	Male	Professional Post Graduate	M.B.B.S., M.D. (General Medicine)	31	65	0	816	84%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	46.6	0	453	78%		Lok Sabha
1015	J. Jeyasingh Thiyagaraj Natterjee	Elected	Sunday, May 18, 2014	In office	First	Thoothukkudi	Tamil Nadu	All India Anna Dravida Munnetra Kazhagam	Male	Post Graduate	M.A., B.L.	65	22	0	303	81%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	46.6	0	453	78%		Lok Sabha
1016	J.C. Divakar Reddy	Elected	Sunday, May 18, 2014	In office	First	Anantapur	Andhra Pradesh	Telugu Desam Party	Male	Graduate	B.Sc.	75	4	1	336	74%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	39.3	0.6	257	76%		Lok Sabha
1017	Jadhav Prataprao Ganpatrao	Elected	Sunday, May 18, 2014	In office	Second	Buldhana	Maharashtra	Shiv Sena	Male	Under Graduate	B.A. - II; Educated at Shri Shivaji College, Chikhil, Buldana	58	51	0	491	70%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	68.6	4.8	607	78%		Lok Sabha
1018	Jagdambika Pal	Elected	Sunday, May 18, 2014	In office	Second	Domariyaganj	Uttar Pradesh	Bharatiya Janata Party	Male	Post Graduate	M.A. (Pol. Science, Modern History & Ancient History) & LL.B.; Educated at Awadh University, L.L.B., Gorakhpur University	68	192	17	381	91%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	109.6	1.8	198	86%		Lok Sabha
1019	Jai Prakash Narayan Yadav	Elected	Sunday, May 18, 2014	In office	Second	Banka	Bihar	Rashtriya Janata Dal	Male	Post Graduate	M.A., LL.B. Educated at Patna University, Patna (Bihar)	64	208	2	166	88%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	58.8	3.2	198	87%		Lok Sabha
1020	Janak Ram	Elected	Sunday, May 18, 2014	In office	First	Gopalganj	Bihar	Bharatiya Janata Party	Male	Post Graduate	M.A.	45	22	0	165	97%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	58.8	3.2	198	87%		Lok Sabha
1021	Janardan Mishra	Elected	Sunday, May 18, 2014	In office	First	Rewa	Madhya Pradesh	Bharatiya Janata Party	Male	Professional Graduate	B.A., LL.B	62	38	0	146	92%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	69.4	0.9	285	82%		Lok Sabha
1022	Janardan Singh Sigriwal	Elected	Sunday, May 18, 2014	In office	First	Maharajganj	Bihar	Bharatiya Janata Party	Male	Post Graduate	M.A.	60	76	10	422	96%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	58.8	3.2	198	87%		Lok Sabha
1023	Jasvantsinh Sumanbhai Bhabhor	Elected	Sunday, May 18, 2014	In office	First	Dahod	Gujarat	Bharatiya Janata Party	Male	Graduate	Information not available	50	11	0	138	90%	This MP was appointed a minister in Jul 2016. Ministers represent the government, so we do not report their participation. Participation and attendance details for this MP are thus available only till May 2016. (Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	35.4	1	137	80	22.4	1.5	123	84%		Lok Sabha
1024	Jayadev Galla	Elected	Sunday, May 18, 2014	In office	First	Guntur	Andhra Pradesh	Telugu Desam Party	Male	Graduate	Graduate	52	120	6	496	85%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	39.3	0.6	257	76%		Lok Sabha
1025	Jayant Sinha	Elected	Sunday, May 18, 2014	In office	First	Hazaribagh	Jharkhand	Bharatiya Janata Party	Male	Professional Post Graduate	Bachelor of Technology (IIT, Delhi), M.Sc. (University of Pennsylvania), M.B.A. (Harvard Business School)	55	2	0	9	97%	This MP was appointed a minister in Nov 2014. Ministers represent the government, so we do not report their participation. Participation and attendance details for this MP are thus available only till Aug 2014. (Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	5.2	0.1	18	80	6.5	0.5	33	86%		Lok Sabha
1026	Jayshreeben Kanubhai Patel	Elected	Sunday, May 18, 2014	In office	Second	Mehesana	Gujarat	Bharatiya Janata Party	Female	Matric	SSC	59	132	6	397	98%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	41.1	2.6	285	84%		Lok Sabha
1027	Jhina Hikaka	Elected	Sunday, May 18, 2014	In office	First	Koraput	Odisha	Biju Janata Dal	Male	Post Graduate	M.A., L.L.B.	43	7	0	17	64%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	67.1	3.7	218	82%		Lok Sabha
1028	Jitendra Choudhury	Elected	Sunday, May 18, 2014	In office	First	Tripura East	Tripura	Communist Party of India (Marxist)	Male	Inter/ Higher Secondary	Inter/Higher Secondary	60	120	0	307	83%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	136	2.5	302	79%		Lok Sabha
1029	Jitendra Singh	Elected	Sunday, May 18, 2014	In office	First	Udhampur	Jammu and Kashmir	Bharatiya Janata Party	Male	Professional Graduate	MBBS	62	N/A	N/A	N/A	N/A	This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	N/A	N/A	N/A		N/A	N/A	N/A	N/A		Lok Sabha
1030	Joice George	Elected	Sunday, May 18, 2014	In office	First	Idukki	Kerala	Independent	Male	Post Graduate	MSW, LL.B.	48	290	9	544	87%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	142.5	4.7	424	77%		Lok Sabha
1031	Jose K. Mani	Elected	Sunday, May 18, 2014	Sunday, July 1, 2018	Second	Kottayam	Kerala	Kerala Congress (M)	Male	Post Graduate	B.Com., M.B.A. (Marketing); Educated at Loyola College, Chennai and P.S.G. College of Technology, Coimbatore	53	109	0	373	77%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	58.2	1.8	253	80	119.6	3.5	375	77%		Lok Sabha
1032	Jual @ Juel Oram	Elected	Sunday, May 18, 2014	In office	Fourth	Sundargarh	Odisha	Bharatiya Janata Party	Male	Others	Diploma in Electrical Engineering Educated at U.G.I.E., Rourkela (Orissa)	57	N/A	N/A	N/A	N/A	This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	N/A	N/A	N/A		N/A	N/A	N/A	N/A		Lok Sabha
1033	Jugal Kishore	Elected	Sunday, May 18, 2014	In office	First	Jammu	Jammu and Kashmir	Bharatiya Janata Party	Male	Matric	Matriculation	56	92	1	292	91%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	30.8	0.2	94	55%		Lok Sabha
1034	Jyoti Dhurve	Elected	Sunday, May 18, 2014	In office	Second	Betul	Madhya Pradesh	Bharatiya Janata Party	Female	Post Graduate	M.A. (Political Science), Educated at Durga Mahavidhyala Raipur, Chattisgarh	52	64	0	230	84%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	69.4	0.9	285	82%		Lok Sabha
1035	Jyotiraditya Madhavrao Scindia	Elected	Sunday, May 18, 2014	In office	Fourth	Guna	Madhya Pradesh	Indian National Congress	Male	Post Graduate	M.A., M.B.A.; Educated at Doon School, Dehradun, Harvard University (U.S.A.) and Stanford University, California (USA)	48	48	1	856	75%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	69.4	0.9	285	82%		Lok Sabha
1036	K. Ashok Kumar	Elected	Sunday, May 18, 2014	In office	First	Krisnagiri	Tamil Nadu	All India Anna Dravida Munnetra Kazhagam	Male	Matric	Matric	65	96	0	434	89%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	46.6	0	453	78%		Lok Sabha
1037	K. C. Venugopal	Elected	Sunday, May 18, 2014	In office	Second	Alappuzha	Kerala	Indian National Congress	Male	Post Graduate	M.Sc. (Mathematics); Educated at Calicut University	56	135	0	353	83%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	142.5	4.7	424	77%		Lok Sabha
1038	K. Gopal	Elected	Sunday, May 18, 2014	In office	First	Nagapattinam	Tamil Nadu	All India Anna Dravida Munnetra Kazhagam	Male	Professional Graduate	M.B.B.S.,	59	40	0	337	78%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	46.6	0	453	78%		Lok Sabha
1039	K. Kamaraj	Elected	Sunday, May 18, 2014	In office	First	Kallakurichi	Tamil Nadu	All India Anna Dravida Munnetra Kazhagam	Male	Professional Post Graduate	M.S. (General Surgery)	53	53	0	213	87%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	46.6	0	453	78%		Lok Sabha
1040	K. Maragatham	Elected	Sunday, May 18, 2014	In office	First	Kancheepuram	Tamil Nadu	All India Anna Dravida Munnetra Kazhagam	Female	Graduate	B. Com.	36	45	0	528	83%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	46.6	0	453	78%		Lok Sabha
1041	K. Parasuraman	Elected	Sunday, May 18, 2014	In office	First	Thanjavur	Tamil Nadu	All India Anna Dravida Munnetra Kazhagam	Male	Graduate	B.Sc.	58	80	0	587	69%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	46.6	0	453	78%		Lok Sabha
1042	K.C. Patel	Elected	Sunday, May 18, 2014	In office	First	Valsad	Gujarat	Bharatiya Janata Party	Male	Professional Graduate	M.B.B.S.	69	1	0	0	81%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	41.1	2.6	285	84%		Lok Sabha
1043	K.H. Muniyappa	Elected	Sunday, May 18, 2014	In office	Seventh	Kolar	Karnataka	Indian National Congress	Male	Professional Graduate	B.A., LL.B.; Educated at Bangalore University (Karnataka)	71	23	0	0	78%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	48.2	0.4	373	79%		Lok Sabha
1044	K.N. Ramachandran	Elected	Sunday, May 18, 2014	In office	First	Sriperumbudur	Tamil Nadu	All India Anna Dravida Munnetra Kazhagam	Male	Post Graduate	M.A.	63	26	0	461	72%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	46.6	0	453	78%		Lok Sabha
1045	K.R.P. Prabakaran	Elected	Sunday, May 18, 2014	In office	First	Tirunelveli	Tamil Nadu	All India Anna Dravida Munnetra Kazhagam	Male	Professional Graduate	B.A., B.L.	38	13	0	141	82%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	46.6	0	453	78%		Lok Sabha
1046	K.V. Thomas	Elected	Sunday, May 18, 2014	In office	Fifth	Ernakulam	Kerala	Indian National Congress	Male	Post Graduate	M.Sc. (Chemistry); Educated at Scared Heart College, Cochin, Kerala	72	42	0	290	73%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	142.5	4.7	424	77%		Lok Sabha
1047	Kadiyam Srihari	Elected	Sunday, May 18, 2014	Thursday, June 11, 2015	First	Warangal	Telangana	Telangana Rashtra Samithi	Male	Post Graduate	M.Sc.	68	5	0	0	48%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	18.1	0.5	70	80	13.6	0	77	68%		Lok Sabha
1048	Kakoli Ghosh Dastidar	Elected	Sunday, May 18, 2014	In office	Second	Barasat	West Bengal	All India Trinamool Congress	Female	Professional Post Graduate	M.B.B.S., Post Graduate Training in Obstetric Ultrasound; Educated at Auxilium Convent, Loreto House, R. G. Kar Medical College, King's College, London	59	17	2	10	60%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	34.4	0.3	94	65%		Lok Sabha
1049	Kalikesh Narayan Singh Deo	Elected	Sunday, May 18, 2014	In office	Second	Bolangir	Odisha	Biju Janata Dal	Male	Graduate	B.A. (Hons.) Economics; Educated at St. Stepen`s College, Delhi University	44	23	5	429	78%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	67.1	3.7	218	82%		Lok Sabha
1050	Kalraj Mishra	Elected	Sunday, May 18, 2014	In office	First	Deoria	Uttar Pradesh	Bharatiya Janata Party	Male	Post Graduate	M.A. Educated at Kashi Vidyapith, Varanasi	77	1	0	0	95%	This MP was a minister till Sep 2017. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Participation and attendance details (Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	12.5	0.7	76	80	20.9	0.7	56	86%		Lok Sabha
1051	Kalvakuntla Kavitha	Elected	Sunday, May 18, 2014	In office	First	Nizamabad	Telangana	Telangana Rashtra Samithi	Female	Professional Graduate	B.Tech.	40	41	3	284	56%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	39.2	2.4	302	68%		Lok Sabha
1052	Kalyan Banerjee	Elected	Sunday, May 18, 2014	In office	Second	Serampore	West Bengal	All India Trinamool Congress	Male	Professional Graduate	B.Com., LL.B; Educated at Bankura Samilani College, Bankura	62	58	0	82	75%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	34.4	0.3	94	65%		Lok Sabha
1053	Kamakhya Prasad Tasa	Elected	Sunday, May 18, 2014	In office	First	Jorhat	Assam	Bharatiya Janata Party	Male	Post Graduate	M.A.	43	42	0	110	74%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	46.6	0.8	164	74%		Lok Sabha
1054	Kamal Nath	Elected	Sunday, May 18, 2014	In office	Ninth	Chhindwara	Madhya Pradesh	Indian National Congress	Male	Graduate	B.Com.; Educated at St. Xavier's College, Calcutta, West Bengal	72	0	0	262	57%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	69.4	0.9	285	82%		Lok Sabha
1055	Kamalbhan Singh Marabi	Elected	Sunday, May 18, 2014	In office	First	Surguja	Chhattisgarh	Bharatiya Janata Party	Male	Post Graduate	M.A.	55	8	0	33	73%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	27.1	0.1	226	83%		Lok Sabha
1056	Kambhampati Hari Babu	Elected	Sunday, May 18, 2014	In office	First	Visakhapatnam	Andhra Pradesh	Bharatiya Janata Party	Male	Doctorate	M.E., Ph.D.	65	12	0	327	96%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	39.3	0.6	257	76%		Lok Sabha
1057	Kamla Devi Patle	Elected	Sunday, May 18, 2014	In office	Second	Janjgir-Champa	Chhattisgarh	Bharatiya Janata Party	Female	Under Graduate	Under Graduate	52	34	0	632	80%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	27.1	0.1	226	83%		Lok Sabha
1058	Kamlesh Paswan	Elected	Sunday, May 18, 2014	In office	Second	Bansgaon	Uttar Pradesh	Bharatiya Janata Party	Male	Inter/ Higher Secondary	Educated at St. Pauls School I.C.S.E. Board Gorakhpur and U.P. Board, Gorakhpur	42	13	0	40	74%	(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)	67.1	2.3	293	80	109.6	1.8	198	86%		Lok Sabha
