ID	MP Name	Nature of membership	Start of Term	End of Term	Number of terms	Constituency	State	Political party	Gender	Educational qualifications	Educational qualifications - details	Age	Debates	Private Member Bills	Questions	Attendance	Notes	National Debates average	National Private Member Bills average	National Questions average	National Attendance average	State's Debates average	State's Private Member Bills average	State Questions	State's Attendance average		House
1536	Gurudas Dasgupta	Elected	Monday, May 18, 2009	In office		Ghatal	West Bengal	Communist Party of India	Male	Post Graduate	M. Com; Educated at Asutosh College, Calcutta and; University College of Arts & Commerce, Calcutta	77	94	0	505	88%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	43.5	0.8	175	72%		Lok Sabha
1537	Gurudas Kamat	Elected	Monday, May 18, 2009	In office		Mumbai-North-West	Maharashtra	Indian National Congress	Male	Post Graduate	B.Com., LL.B., M.B.A.; Educated at R.A. Podar College of Commerce and Economics and Government Law College, Mumbai, Maharashtra	59	0	0	0	87%	This MP was a Minister. He tendered his resignation on 28th Oct, 2012. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 29th Oct, 2012. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	9.1	0.2	85	76%	7.5	0.5	146	74%		Lok Sabha
1538	H.D. Devegowda	Elected	Monday, May 18, 2009	In office		Hassan	Karnataka	Janata Dal (Secular)	Male	Diploma Course	D.C.E.; Educated at Government High School, Holenarsipura and Smt.L.V. Polytechnic, Hassan, Karnataka	80	28	0	0	59%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	21.2	0.2	350	68%		Lok Sabha
1539	H.D. Kumaraswamy	Elected	Monday, May 18, 2009	In office		Bangalore Rural	Karnataka	Janata Dal (Secular)	Male	Graduate	B.Sc.	54	2	0	0	32%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	33.6	0.8	265	76%	17.5	0.2	304	68%		Lok Sabha
1540	Hamdullah Sayeed	Elected	Monday, May 18, 2009	In office		Lakshadweep	Lakshadweep	Indian National Congress	Male	Graduate	B.Sc., LL.B.; Educated at Indian Law Society, Pune	31	36	2	631	78%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	36	2	631	78%		Lok Sabha
1541	Hansraj Gangaram Ahir	Elected	Monday, May 18, 2009	In office		Chandrapur	Maharashtra	Bharatiya Janata Party	Male	Inter/ Higher Secondary	S.S.C.; Educated at L.T.Y. School, Chandrapur, Maharashtra	59	114	31	1005	72%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	28.8	1.7	500	74%		Lok Sabha
1542	Hari Manjhi	Elected	Monday, May 18, 2009	In office		Gaya	Bihar	Bharatiya Janata Party	Male	Under Matric		51	18	0	128	94%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	45.1	0.7	331	87%		Lok Sabha
1543	Haribhai Parthibhai Chaudhary	Elected	Monday, August 5, 2013	In office		Banaskantha	Gujarat	Bharatiya Janata Party	Male	Post Graduate	Educated at Mumbai University, Mumbai (Maharashtra)	59	4	0	33	88%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	4.3	0	35	76%	5.9	0	44	76%		Lok Sabha
1544	Haribhau Madhav Jawale	Elected	Monday, May 18, 2009	In office		Raver	Maharashtra	Bharatiya Janata Party	Male	Graduate	B.Sc.; Educated at M.J. College, Jalgaon, Maharashtra	60	53	1	404	81%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	28.8	1.7	500	74%		Lok Sabha
1545	Harin Pathak	Elected	Monday, May 18, 2009	In office		Ahmedabad East	Gujarat	Bharatiya Janata Party	Male	Graduate	B.A., B.Ed.; Educated at Gujarat University, Ahmedabad (Gujarat)	66	34	0	374	83%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	41	1.4	382	76%		Lok Sabha
1546	Harischandra Deoram Chavan	Elected	Monday, May 18, 2009	In office		Dindori	Maharashtra	Bharatiya Janata Party	Male	Graduate	B.A. (With English Special); Educated at K.G. Joshi College, Thane (Maharashtra)	62	8	0	791	79%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	28.8	1.7	500	74%		Lok Sabha
1547	Harish Choudhary	Elected	Monday, May 18, 2009	In office		Barmer	Rajasthan	Indian National Congress	Male	Post Graduate	M.A. (Economics); Educated at Jai Narayanvyas University, Jodhpur, Rajasthan	43	54	0	648	88%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	51.5	1	304	88%		Lok Sabha
1548	Harish Rawat	Elected	Monday, May 18, 2009	In office		Hardwar	Uttarakhand	Indian National Congress	Male	Graduate	B.A., LL.B; Educated at Lucknow University, Uttar Pradesh	65	N/A	N/A	N/A	N/A	This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A		Lok Sabha
1549	Harsh Vardhan	Elected	Monday, May 18, 2009	In office		Maharajganj	Uttar Pradesh	Indian National Congress	Male	Graduate	B.A.; Educated at Lucknow University , Uttar Pradesh	66	54	0	448	77%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	43.9	0.4	254	79%		Lok Sabha
1550	Harsimrat Kaur Badal	Elected	Monday, May 18, 2009	In office		Bathinda	Punjab	Shiromani Akali Dal	Female	Graduate	Degree in Dress designing	47	34	0	276	78%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	23.8	0.7	170	78%		Lok Sabha
1551	Hassan Khan	Elected	Monday, May 18, 2009	In office		Ladakh	Jammu and Kashmir	Independent	Male	Graduate	B.A.; Educated at Kashmir University, Srinagar, Jammu & Kashmir	74	16	0	54	91%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	44.4	0	96	88%		Lok Sabha
1552	Hemanand Biswal	Elected	Monday, May 18, 2009	In office		Sundargarh	Orissa	Indian National Congress	Male	Inter/ Higher Secondary		74	14	0	339	87%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	35	0.9	382	74%		Lok Sabha
1553	Hukamdeo Narayan Yadav	Elected	Monday, May 18, 2009	In office		Madhubani	Bihar	Bharatiya Janata Party	Male	Graduate	Graduate, Amanat (Land surveying); Educated at Chandradhari Mithila College, Darbhanga, Bihar	74	82	0	304	95%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	45.1	0.7	331	87%		Lok Sabha
1554	Ijyaraj Singh	Elected	Monday, May 18, 2009	In office		Kota	Rajasthan	Indian National Congress	Male	Post Graduate	MBA (Marketing), B.Sc. (Computer Science); Educated at Columbia Business School, Columbia University, New York, U.S.A. and Brown University Providence, Rhode Island, U.S.A.	49	48	0	519	88%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	51.5	1	304	88%		Lok Sabha
1555	Inder Singh Namdhari	Elected	Monday, May 18, 2009	In office		Chatra	Jharkhand	Independent	Male	Graduate	B.E. (Telecommunication); Educated at BIT, Sindri, Jharkhand	71	21	2	182	92%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	38.8	0.8	251	66%		Lok Sabha
1556	Inderjit Singh Rao	Elected	Monday, May 18, 2009	In office		Gurgaon	Haryana	Indian National Congress	Male	Graduate	B.A. (Hons), LL.B., Educated at University of Delhi, Delhi	64	2	0	10	80%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	13.1	0.1	231	69%		Lok Sabha
1557	Ingrid Mcleod	Nominated	Friday, September 18, 2009	In office				Independent	Female	Graduate	Educated at Guru Ghasidas University, Bilaspur, Chhattisgarh	46	6	0	130	83%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	34.3	0.7	285	76%	43	0	160	90%		Lok Sabha
1558	Ismail Hussain	Elected	Monday, May 18, 2009	In office		Barpeta	Assam	Indian National Congress	Male	Post Graduate	M.A.; Educated at B.H. College, Howli, Barpeta, Assam and Gauwhati University, Assam	63	0	0	0	94%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	22.1	0.5	83	80%		Lok Sabha
1559	J. Shantha	Elected	Monday, May 18, 2009	In office		Bellary	Karnataka	Bharatiya Janata Party	Female	Inter/ Higher Secondary		40	12	0	516	55%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	21.2	0.2	350	68%		Lok Sabha
1560	J.M. Aaron Rashid	Elected	Monday, May 18, 2009	In office		Theni	Tamil Nadu	Indian National Congress	Male	Inter/ Higher Secondary	Educated at Sir Thiyagaraja College, Washermanpet, Chennai , Tamil Nadu	63	61	0	376	68%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	47.2	0.4	398	69%		Lok Sabha
1561	Jadhav Baliram Sukur	Elected	Monday, May 18, 2009	In office		Palghar	Maharashtra	Bahujan Vikas Aaghadi	Male	Under Matric		57	16	0	316	94%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	28.8	1.7	500	74%		Lok Sabha
1562	Jadhav Prataprao Ganpatrao	Elected	Monday, May 18, 2009	In office		Buldhana	Maharashtra	Shiv Sena	Male	Under Graduate	B.A. - II; Educated at Shri Shivaji College, Chikhil, Buldana	53	19	0	511	64%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	28.8	1.7	500	74%		Lok Sabha
1563	Jagada Nand Singh	Elected	Monday, May 18, 2009	In office		Buxar	Bihar	Rashtriya Janata Dal	Male	Graduate	B.Sc., LL.B.; Educated at Banaras Hindu University and Harish Chandra P.G. College, Varanasi	71	83	0	464	95%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	45.1	0.7	331	87%		Lok Sabha
1564	Jagdambika Pal	Elected	Monday, May 18, 2009	In office		Domariyaganj	Uttar Pradesh	Indian National Congress	Male	Post Graduate	M.A. (Pol. Science, Modern History & Ancient History) & LL.B.; Educated at Awadh University, L.L.B., Gorakhpur University	63	191	4	223	92%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	43.9	0.4	254	79%		Lok Sabha
1565	Jagdish Sharma	Elected	Monday, May 18, 2009	In office		Jahanabad	Bihar	Janata Dal (United)	Male	Graduate	B.Vsc. & A.H., L.L.B.; Educated at Magadh University and Rajendra Agricultural University Pussa (Bihar)	63	28	0	439	85%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	36.5	0.8	281	76%	43.5	0.7	311	87%		Lok Sabha
1566	Jagdish Singh Rana	Elected	Monday, May 18, 2009	In office		Saharanpur	Uttar Pradesh	Bahujan Samaj Party	Male	Graduate	B.A.; Educated at J.V. Jain College, Saharanpur, Uttar Pradesh	59	15	0	236	87%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	43.9	0.4	254	79%		Lok Sabha
1567	Jagdish Thakor	Elected	Monday, May 18, 2009	In office		Patan	Gujarat	Indian National Congress	Male	Matric	Educated at N.S. Vidyalaya, Naroda, Gujarat	56	17	0	306	59%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	41	1.4	382	76%		Lok Sabha
1568	Jai Prakash Agarwal	Elected	Monday, May 18, 2009	In office		North East Delhi	Delhi	Indian National Congress	Male	Graduate	B.A.; Educated at Hansraj College, Delhi	69	85	23	898	98%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	32	5.6	296	84%		Lok Sabha
1569	Jainarain Prasad Nishad	Elected	Monday, May 18, 2009	In office		Muzaffarpur	Bihar	Janata Dal (United)	Male	Inter/ Higher Secondary	Educated at Madhya Pradesh Education Board, Bhopal (Madhya Pradesh)	83	8	0	115	80%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	45.1	0.7	331	87%		Lok Sabha
1570	Jaipal Sudini Reddy	Elected	Monday, May 18, 2009	In office		Chelvella	Andhra Pradesh	Indian National Congress	Male	Post Graduate	M.A. (English), B.J.; Educated at Osmania University, Hyderabad, Andhra Pradesh	72	N/A	N/A	N/A	N/A	This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A		Lok Sabha
1571	Janardhana Swamy	Elected	Monday, May 18, 2009	In office		Chitradurga	Karnataka	Bharatiya Janata Party	Male	Post Graduate	M.E. (Electrical Communication Engineering); Educated at Indian Institute of Science (IISc), Bangalore, Karnataka	45	5	0	5	59%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	21.2	0.2	350	68%		Lok Sabha
1572	Jaswant Singh	Elected	Monday, May 18, 2009	In office		Darjeeling	West Bengal	Bharatiya Janata Party	Male	Graduate	B.A., B.Sc.; Educated at Mayo College, Ajmer, Joint Services Wing, Clement Town, Dehradun. N.D.A. Khadakvasla and Indian Military Academy, Dehradun	76	18	0	0	78%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	43.5	0.8	175	72%		Lok Sabha
1573	Jayant Chaudhary	Elected	Monday, May 18, 2009	In office		Mathura	Uttar Pradesh	Rashtriya Lok Dal	Male	Post Graduate	M.Sc., Accounts and Finance; Educated at Landon School of Economics and Political Science	35	45	2	180	83%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	43.9	0.4	254	79%		Lok Sabha
1574	Jayaram Pangi	Elected	Monday, May 18, 2009	In office		Koraput	Orissa	Biju Janata Dal	Male	Inter/ Higher Secondary	Educated at Govt. TRW High School, Sunabeda - 1, Orissa; Hal, Sunabeda	58	4	0	227	65%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	35	0.9	382	74%		Lok Sabha
1575	Jayshreeben Kanubhai Patel	Elected	Monday, May 18, 2009	In office		Mehesana	Gujarat	Bharatiya Janata Party	Female	Matric		54	132	1	515	84%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	41	1.4	382	76%		Lok Sabha
1576	Jeetendra Singh Bundela	Elected	Monday, May 18, 2009	In office		Khajuraho	Madhya Pradesh	Bharatiya Janata Party	Male	Post Graduate	M.A., LL.B; Maharaja Mahavidyalya Chhattarpur, Madhya Pradesh and Motilal Vidhi Mahavidyalaya Chattarpur, Madhya Pradesh	55	58	0	392	89%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	46.6	0.4	233	82%		Lok Sabha
1577	Jhansi Botcha Lakshmi	Elected	Monday, May 18, 2009	In office		Vizianagaram	Andhra Pradesh	Indian National Congress	Female	Doctorate	M.A. (Philosophy), Ph.D.	49	146	2	377	88%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	20.3	0.4	339	68%		Lok Sabha
1578	Jitender Singh Malik	Elected	Monday, May 18, 2009	In office		Sonipat	Haryana	Indian National Congress	Male	Graduate	B.A., LL.B.	44	12	0	64	74%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	13.1	0.1	231	69%		Lok Sabha
1579	Jitendra Singh	Elected	Monday, May 18, 2009	In office		Alwar	Rajasthan	Indian National Congress	Male	Graduate	B.Com; Educated at Delhi University & Wynberg Allan, Mussoorie	42	0	0	0	77%	This MP was appointed a minister in Jul, 2011. Ministers represent the government, so we do not report their participation. Participation and attendance details for this MP are thus available only till 25th March, 2011. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	15.9	0.4	119	76%	17.5	0.5	106	88%		Lok Sabha
1580	Jitin Prasada	Elected	Monday, May 18, 2009	In office		Dhaurahra	Uttar Pradesh	Indian National Congress	Male	Post Graduate	M.B.A.; Educated at Sri Ram College of Commerce, Delhi and IMI, Delhi	40	N/A	N/A	N/A	N/A	This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A		Lok Sabha
1581	Jose K. Mani	Elected	Monday, May 18, 2009	In office		Kottayam	Kerala	Kerala Congress (M)	Male	Post Graduate	B.Com., M.B.A. (Marketing); Educated at Loyola College, Chennai and P.S.G. College of Technology, Coimbatore	48	65	0	574	84%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	69.4	1.5	416	79%		Lok Sabha
1582	Joseph Toppo	Elected	Monday, May 18, 2009	In office		Tezpur	Assam	Asom Gana Parishad	Male	Inter/ Higher Secondary	H.S.L.C., Diploma in Automobile Engineering; Educated at Don Bosco Technical School Maligaon, Guwahati	59	21	0	147	76%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	22.1	0.5	83	80%		Lok Sabha
1583	Jyoti Dhurve	Elected	Monday, May 18, 2009	In office		Betul	Madhya Pradesh	Bharatiya Janata Party	Female	Post Graduate	M.A. (Political Science), Educated at Durga Mahavidhyala Raipur, Chattisgarh	47	74	0	373	83%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	46.6	0.4	233	82%		Lok Sabha
1584	Jyoti Mirdha	Elected	Monday, May 18, 2009	In office		Nagaur	Rajasthan	Indian National Congress	Female	Graduate	M.B.B.S.; Educated at SMS Medical College, Jaipur (Rajasthan)	41	26	0	58	93%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	51.5	1	304	88%		Lok Sabha
1585	Jyotiraditya Madhavrao Scindia	Elected	Monday, May 18, 2009	In office		Guna	Madhya Pradesh	Indian National Congress	Male	Post Graduate	M.A., M.B.A.; Educated at Doon School, Dehradun, Harvard University (U.S.A.) and Stanford University, California (USA)	43	N/A	N/A	N/A	N/A	This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A		Lok Sabha
1586	K. C. Venugopal	Elected	Monday, May 18, 2009	In office		Alappuzha	Kerala	Indian National Congress	Male	Post Graduate	M.Sc. (Mathematics); Educated at Calicut University	51	39	0	235	84%	This MP was appointed a minister in Jan, 2011. Ministers represent the government, so we do not report their participation. Participation and attendance details for this MP are thus available only till 13th Dec, 2010. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	12.5	0.3	103	76%	24.6	0.3	157	79%		Lok Sabha
1587	K. D. Deshmukh	Elected	Monday, May 18, 2009	Thursday, December 12, 2013		Balaghat	Madhya Pradesh	Bharatiya Janata Party	Male	Graduate	B.Sc., LL.B.; Educated at Govt. J.S.T. College, Balaghat	65	58	0	191	61%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	36.6	0.8	287	76%	44.8	0.4	227	82%		Lok Sabha
1588	K. Jayaprakash Hegde	Elected	Tuesday, March 27, 2012	In office		Udupi Chikmagalur	Karnataka	Indian National Congress	Male	Graduate	Law	54	12	0	67	81%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	15.1	0.3	127	76%	10.2	0	156	68%		Lok Sabha
1589	K. Jayasurya Prakash Reddy	Elected	Monday, May 18, 2009	In office		Kurnool	Andhra Pradesh	Indian National Congress	Male	Graduate	B.A.; Educated at Nizam College, Hyderabad, Andhra Pradesh	62	0	0	499	56%	This MP was appointed a minister in Oct, 2012. Ministers represent the government, so we do not report their participation. Participation and attendance details for this MP are thus available only till 7th Sep, 2012. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	28.8	0.6	215	76%	16	0.4	266	68%		Lok Sabha
1590	K. Murugesan Anandan	Elected	Monday, May 18, 2009	In office		Viluppuram	Tamil Nadu	All India Anna Dravida Munnetra Kazhagam	Male	Under Graduate	P.U.C.; Attended B.Sc course for three years; Educated at Govt. Arts College, Cuddalore, Tamil Nadu in the year 1971-74	62	22	1	226	91%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	47.2	0.4	398	69%		Lok Sabha
1591	K. P. Dhanapalan	Elected	Monday, May 18, 2009	In office		Chalakudy	Kerala	Indian National Congress	Male	Graduate	B.Sc. (Chemistry); Educated at U.C. College, Aluva	63	69	0	493	100%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	69.4	1.5	416	79%		Lok Sabha
1592	K. Sugumar	Elected	Monday, May 18, 2009	In office		Pollachi	Tamil Nadu	All India Anna Dravida Munnetra Kazhagam	Male	Graduate	B.Com.; Educated at P.S.G. College of Arts & Science, Coimbatore	53	41	0	651	87%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	47.2	0.4	398	69%		Lok Sabha
1593	K.C. Singh Baba	Elected	Monday, May 18, 2009	In office		Nainital-Udhamsingh Nagar	Uttarakhand	Indian National Congress	Male	Inter/ Higher Secondary	Senior Cambridge; Educated at St. Joseph`s College, Nainital, Uttarakhand	66	19	6	254	59%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	53	4.6	112	79%		Lok Sabha
1594	K.H. Muniyappa	Elected	Monday, May 18, 2009	In office		Kolar	Karnataka	Indian National Congress	Male	Graduate	B.A., LL.B.; Educated at Bangalore University (Karnataka)	65	N/A	N/A	N/A	N/A	This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A		Lok Sabha
1595	K.V. Thomas	Elected	Monday, May 18, 2009	In office		Ernakulam	Kerala	Indian National Congress	Male	Post Graduate	M.Sc. (Chemistry); Educated at Scared Heart College, Cochin, Kerala	67	N/A	N/A	N/A	N/A	This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A		Lok Sabha
1596	Kabindra Purkayastha	Elected	Monday, May 18, 2009	In office		Silchar	Assam	Bharatiya Janata Party	Male	Post Graduate	M.A., B.T.; Educated at Gauhati University, Gauhati (Assam)	82	34	1	130	87%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	22.1	0.5	83	80%		Lok Sabha
1597	Kabir Suman	Elected	Monday, May 18, 2009	In office		Jadavpur	West Bengal	All India Trinamool Congress	Male	Graduate	B.A. (Hons.) English Literature; Educated at Jadav University, Kolkata	63	3	0	0	31%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	43.5	0.8	175	72%		Lok Sabha
1598	Kadir Rana	Elected	Monday, May 18, 2009	In office		Muzaffarnagar	Uttar Pradesh	Bahujan Samaj Party	Male	Under Matric		52	1	0	111	57%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	43.9	0.4	254	79%		Lok Sabha
1599	Kailash Joshi	Elected	Monday, May 18, 2009	In office		Bhopal	Madhya Pradesh	Bharatiya Janata Party	Male	Matric		84	4	0	73	84%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	46.6	0.4	233	82%		Lok Sabha
1600	Kaisar Jahan	Elected	Monday, May 18, 2009	In office		Sitapur	Uttar Pradesh	Bahujan Samaj Party	Female	Under Matric	Privately Educated	44	7	0	33	62%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	43.9	0.4	254	79%		Lok Sabha
1601	Kakoli Ghosh Dastidar	Elected	Monday, May 18, 2009	In office		Barasat	West Bengal	All India Trinamool Congress	Female	Post Graduate	M.B.B.S., Post Graduate Training in Obstetric Ultrasound; Educated at Auxilium Convent, Loreto House, R. G. Kar Medical College, King's College, London	54	25	1	13	67%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	43.5	0.8	175	72%		Lok Sabha
1602	Kalikesh Narayan Singh Deo	Elected	Monday, May 18, 2009	In office		Bolangir	Orissa	Biju Janata Dal	Male	Graduate	B.A. (Hons.) Economics; Educated at St. Stepen`s College, Delhi University	39	19	2	373	70%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	35	0.9	382	74%		Lok Sabha
1603	Kalyan Banerjee	Elected	Monday, May 18, 2009	In office		Serampore	West Bengal	All India Trinamool Congress	Male	Graduate	B.Com., LL.B; Educated at Bankura Samilani College, Bankura	57	39	0	0	75%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	43.5	0.8	175	72%		Lok Sabha
1604	Kalyan Singh	Elected	Monday, May 18, 2009	In office		Etah	Uttar Pradesh	Independent	Male	Graduate	B.A., L.T.; Educated at D.S. Degree College, Alligarh, Uttar Pradesh	82	1	0	0	50%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	43.9	0.4	254	79%		Lok Sabha
1605	Kamal Kishor	Elected	Monday, May 18, 2009	In office		Bahraich	Uttar Pradesh	Indian National Congress	Male	Graduate	B.A.; Indian Armed Forces	57	102	0	250	96%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	43.9	0.4	254	79%		Lok Sabha
1606	Kamal Nath	Elected	Monday, May 18, 2009	In office		Chhindwara	Madhya Pradesh	Indian National Congress	Male	Graduate	B.Com.; Educated at St. Xavier's College, Calcutta, West Bengal	67	N/A	N/A	N/A	N/A	This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A		Lok Sabha
1607	Kameshwar Baitha	Elected	Monday, May 18, 2009	In office		Palamu	Jharkhand	Jharkhand Mukti Morcha	Male	Matric		57	35	0	269	43%	Complete attendance for this MP is not available (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	38.8	0.8	251	66%		Lok Sabha
1608	Kamla Devi Patle	Elected	Monday, May 18, 2009	In office		Janjgir-Champa	Chhattisgarh	Bharatiya Janata Party	Female	Under Graduate		47	16	0	416	71%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	13.6	0.5	183	60%		Lok Sabha
1609	Kamlesh Balmiki	Elected	Monday, May 18, 2009	In office		Bulandshahr	Uttar Pradesh	Samajwadi Party	Male	Under Matric		61	1	0	4	87%	(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)	37.9	0.8	300	76%	43.9	0.4	254	79%		Lok Sabha
